station_complex_id,station_complex,Georeference
8,"5 Av/59 St (N,R,W)",POINT (-73.97335 40.764812)
9,"57 St-7 Av (N,Q,R,W)",POINT (-73.98066 40.764664)
10,"49 St (N,R,W)",POINT (-73.98414 40.7599)
13,"28 St (R,W)",POINT (-73.98869 40.745495)
14,"23 St (R,W)",POINT (-73.98934 40.741302)
16,"8 St-NYU (R,W)",POINT (-73.99263 40.730328)
17,"Prince St (R,W)",POINT (-73.9977 40.72433)
20,"City Hall (R,W)",POINT (-74.00698 40.713284)
22,"Rector St (R,W)",POINT (-74.01334 40.70722)
103,"Bowery (J,Z)",POINT (-73.99391 40.72028)
107,"Broad St (J,Z)",POINT (-74.011055 40.706474)
118,3 Av (L),POINT (-73.98612 40.73285)
119,1 Av (L),POINT (-73.98163 40.730953)
143,Inwood-207 St (A),POINT (-73.9199 40.868073)
144,Dyckman St (A),POINT (-73.92727 40.86549)
145,190 St (A),POINT (-73.93418 40.85902)
146,181 St (A),POINT (-73.937965 40.851696)
147,175 St (A),POINT (-73.939705 40.84739)
149,163 St-Amsterdam Av (C),POINT (-73.939896 40.836014)
150,155 St (C),POINT (-73.94151 40.830517)
151,"145 St (A,C,B,D)",POINT (-73.944214 40.824783)
152,"135 St (C,B)",POINT (-73.94765 40.817894)
153,"125 St (A,C,B,D)",POINT (-73.95235 40.811108)
154,"116 St (C,B)",POINT (-73.95488 40.805084)
155,"Cathedral Pkwy (110 St) (C,B)",POINT (-73.95816 40.800602)
156,"103 St (C,B)",POINT (-73.96146 40.796093)
157,"96 St (C,B)",POINT (-73.9647 40.79164)
158,"86 St (C,B)",POINT (-73.96892 40.78587)
159,"81 St-Museum of Natural History (C,B)",POINT (-73.972145 40.781433)
160,"72 St (C,B)",POINT (-73.97641 40.775593)
162,"50 St (C,E)",POINT (-73.985985 40.762455)
164,"34 St-Penn Station (A,C,E)",POINT (-73.99339 40.75229)
165,"23 St (C,E)",POINT (-73.99804 40.745907)
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",POINT (-74.000496 40.732338)
168,"Spring St (C,E)",POINT (-74.00374 40.726227)
169,"Canal St (A,C,E)",POINT (-74.005226 40.720825)
220,"155 St (B,D)",POINT (-73.93821 40.830135)
222,Roosevelt Island (F),POINT (-73.95326 40.759144)
223,"Lexington Av/63 St (F,Q)",POINT (-73.96611 40.76463)
224,57 St (F),POINT (-73.97745 40.763973)
225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",POINT (-73.98133 40.758663)
228,"23 St (F,M)",POINT (-73.99282 40.742878)
231,"Grand St (B,D)",POINT (-73.99375 40.718266)
232,2 Av (F),POINT (-73.98994 40.7234)
234,East Broadway (F),POINT (-73.99017 40.713715)
276,"5 Av/53 St (E,M)",POINT (-73.97523 40.760166)
277,"7 Av (E,B,D)",POINT (-73.981636 40.762863)
296,Marble Hill-225 St (1),POINT (-73.90983 40.87456)
297,215 St (1),POINT (-73.915276 40.869446)
298,207 St (1),POINT (-73.91882 40.86462)
299,Dyckman St (1),POINT (-73.92554 40.86053)
300,191 St (1),POINT (-73.92941 40.855225)
301,181 St (1),POINT (-73.93359 40.849506)
303,157 St (1),POINT (-73.94489 40.83404)
304,145 St (1),POINT (-73.95036 40.82655)
305,137 St-City College (1),POINT (-73.953674 40.822006)
306,125 St (1),POINT (-73.958374 40.815582)
307,116 St-Columbia University (1),POINT (-73.96411 40.80772)
308,Cathedral Pkwy (110 St) (1),POINT (-73.96685 40.803967)
309,103 St (1),POINT (-73.968376 40.799446)
310,"96 St (1,2,3)",POINT (-73.97232 40.79392)
311,86 St (1),POINT (-73.97622 40.788643)
312,79 St (1),POINT (-73.97992 40.783936)
313,"72 St (1,2,3)",POINT (-73.98197 40.778454)
314,66 St-Lincoln Center (1),POINT (-73.98221 40.77344)
316,50 St (1),POINT (-73.98385 40.761726)
318,"34 St-Penn Station (1,2,3)",POINT (-73.99106 40.750374)
319,28 St (1),POINT (-73.99336 40.747215)
320,23 St (1),POINT (-73.99566 40.74408)
321,18 St (1),POINT (-73.99787 40.74104)
323,Christopher St-Sheridan Sq (1),POINT (-74.00291 40.73342)
324,Houston St (1),POINT (-74.00536 40.728252)
325,Canal St (1),POINT (-74.00628 40.722855)
326,Franklin St (1),POINT (-74.00689 40.71932)
327,"Chambers St (1,2,3)",POINT (-74.00927 40.715477)
328,WTC Cortlandt (1),POINT (-74.01219 40.711834)
329,Rector St (1),POINT (-74.01379 40.70751)
333,"Wall St (2,3)",POINT (-74.0091 40.70682)
392,"125 St (4,5,6)",POINT (-73.93759 40.80414)
393,116 St (6),POINT (-73.94162 40.79863)
394,110 St (6),POINT (-73.94425 40.79502)
395,103 St (6),POINT (-73.94748 40.7906)
396,96 St (6),POINT (-73.95107 40.78567)
397,"86 St (4,5,6)",POINT (-73.95559 40.77949)
398,77 St (6),POINT (-73.95988 40.77362)
399,68 St-Hunter College (6),POINT (-73.96387 40.768143)
403,33 St (6),POINT (-73.98208 40.746082)
404,28 St (6),POINT (-73.98426 40.74307)
405,23 St (6),POINT (-73.9866 40.739864)
407,Astor Pl (6),POINT (-73.99107 40.730053)
409,Spring St (6),POINT (-73.99714 40.7223)
413,"Wall St (4,5)",POINT (-74.01186 40.707558)
414,"Bowling Green (4,5)",POINT (-74.01407 40.70482)
436,Harlem-148 St (3),POINT (-73.93647 40.82388)
437,145 St (3),POINT (-73.93625 40.82042)
438,"135 St (2,3)",POINT (-73.94077 40.814228)
439,"125 St (2,3)",POINT (-73.945496 40.807755)
440,"116 St (2,3)",POINT (-73.94962 40.802097)
441,"Central Park North (110 St) (2,3)",POINT (-73.95182 40.799076)
471,34 St-Hudson Yards (7),POINT (-74.00191 40.755882)
475,96 St (Q),POINT (-73.94715 40.784317)
476,86 St (Q),POINT (-73.95179 40.77789)
477,72 St (Q),POINT (-73.95843 40.7688)
601,"14 St (F,M,1,2,3)/6 Av (L)",POINT (-73.99621 40.738228)
602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",POINT (-73.98995 40.735737)
605,"168 St (A,C,1)",POINT (-73.93956 40.840717)
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",POINT (-73.98782 40.749718)
609,"Bryant Pk (B,D,F,M)/5 Av (7)",POINT (-73.981964 40.754223)
610,"Grand Central-42 St (S,4,5,6,7)",POINT (-73.976845 40.751778)
611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",POINT (-73.986755 40.75731)
612,"Lexington Av-53 St (E,M)/51 St (6)",POINT (-73.969055 40.757553)
613,"Lexington Av (N,R,W)/59 St (4,5,6)",POINT (-73.967255 40.76266)
614,"59 St-Columbus Circle (A,B,C,D,1)",POINT (-73.981735 40.768295)
618,"14 St (A,C,E)/8 Av (L)",POINT (-74.00169 40.740894)
619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",POINT (-73.99466 40.725914)
622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",POINT (-74.0034 40.71324)
623,"Canal St (J,N,Q,R,W,Z,6)",POINT (-73.99989 40.71953)
624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",POINT (-74.00858 40.71411)
625,"Delancey St (F)/Essex St (J,M,Z)",POINT (-73.987434 40.718613)
628,"Fulton St (A,C,J,Z,2,3,4,5)",POINT (-74.00657 40.710373)
635,"South Ferry (1)/Whitehall St (R,W)",POINT (-74.01299 40.703087)
