Station,Name,Latitude,Longitude,Date,Precipitation,Snow,Avg_Temp,Max_Temp,Min_Temp,Rain?,Snow?
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-17,0.22,0.0,70.0,77.0,63.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-18,0.0,0.0,71.5,78.0,65.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-19,0.0,0.0,73.0,80.0,66.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-20,0.0,0.0,71.5,79.0,64.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-21,0.0,0.0,71.0,80.0,62.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-22,0.04,0.0,66.0,73.0,59.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-23,0.02,0.0,66.5,72.0,61.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-24,0.11,0.0,68.5,71.0,66.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-25,0.14,0.0,74.0,78.0,70.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-26,0.0,0.0,77.5,83.0,72.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-27,0.6,0.0,73.0,79.0,67.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-28,0.04,0.0,73.5,79.0,68.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-29,0.0,0.0,74.0,81.0,67.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-06-30,0.0,0.0,76.0,83.0,69.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-01,0.0,0.0,77.0,83.0,71.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-02,0.0,0.0,76.0,81.0,71.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-03,1.21,0.0,79.5,86.0,73.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-04,0.12,0.0,80.5,87.0,74.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-05,0.41,0.0,76.0,79.0,73.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-06,0.0,0.0,81.5,88.0,75.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-07,0.0,0.0,82.5,90.0,75.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-08,0.0,0.0,81.0,86.0,76.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-09,0.0,0.0,80.5,85.0,76.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-10,0.26,0.0,77.5,82.0,73.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-11,0.0,0.0,78.5,85.0,72.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-12,0.0,0.0,80.0,87.0,73.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-13,0.0,0.0,84.0,91.0,77.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-14,0.18,0.0,80.0,88.0,72.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-15,0.58,0.0,77.5,85.0,70.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-16,0.15,0.0,81.5,87.0,76.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-17,1.48,0.0,76.5,79.0,74.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-18,0.0,0.0,82.0,88.0,76.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-19,0.27,0.0,76.5,82.0,71.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-20,0.01,0.0,76.5,79.0,74.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-21,0.12,0.0,80.5,87.0,74.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-22,0.03,0.0,77.5,85.0,70.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-23,0.0,0.0,78.0,85.0,71.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-24,0.0,0.0,80.0,87.0,73.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-25,0.0,0.0,79.5,84.0,75.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-26,0.68,0.0,76.0,84.0,68.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-27,0.0,0.0,79.0,87.0,71.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-28,0.01,0.0,85.0,92.0,78.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-29,0.02,0.0,84.5,92.0,77.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-30,0.09,0.0,77.5,89.0,66.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-07-31,0.0,0.0,74.0,81.0,67.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-01,0.0,0.0,75.0,82.0,68.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-02,0.0,0.0,74.0,81.0,67.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-03,0.0,0.0,74.5,81.0,68.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-04,0.0,0.0,74.5,78.0,71.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-05,0.0,0.0,74.5,77.0,72.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-06,0.0,0.0,78.5,86.0,71.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-07,0.9,0.0,75.5,83.0,68.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-08,0.25,0.0,76.0,82.0,70.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-09,0.02,0.0,74.5,78.0,71.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-10,0.0,0.0,78.5,86.0,71.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-11,0.6,0.0,75.5,81.0,70.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-12,0.0,0.0,77.5,84.0,71.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-13,0.59,0.0,76.5,83.0,70.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-14,0.0,0.0,80.5,88.0,73.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-15,0.7,0.0,78.0,86.0,70.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-16,1.1,0.0,75.0,82.0,68.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-17,0.0,0.0,77.0,84.0,70.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-18,1.5,0.0,73.0,80.0,66.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-19,0.0,0.0,72.5,81.0,64.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-20,0.0,0.0,71.5,79.0,64.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-21,0.0,0.0,76.5,85.0,68.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-22,0.0,0.0,77.5,87.0,68.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-23,0.0,0.0,73.5,79.0,68.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-24,0.0,0.0,74.5,81.0,68.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-25,0.59,0.0,71.0,74.0,68.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-26,0.4,0.0,74.5,78.0,71.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-27,0.03,0.0,77.5,85.0,70.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-28,0.0,0.0,77.0,84.0,70.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-29,0.0,0.0,73.0,77.0,69.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-30,0.0,0.0,73.5,77.0,70.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-08-31,0.16,0.0,75.0,84.0,66.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-01,0.0,0.0,69.5,77.0,62.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-02,0.0,0.0,70.5,77.0,64.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-03,0.0,0.0,71.5,78.0,65.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-04,0.0,0.0,79.5,89.0,70.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-05,0.0,0.0,83.0,89.0,77.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-06,0.0,0.0,84.5,92.0,77.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-07,0.0,0.0,86.0,93.0,79.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-08,0.01,0.0,83.0,93.0,73.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-09,0.05,0.0,80.5,87.0,74.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-10,0.03,0.0,78.5,84.0,73.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-11,2.04,0.0,74.0,80.0,68.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-12,0.38,0.0,75.5,82.0,69.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-13,0.19,0.0,76.5,83.0,70.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-14,0.02,0.0,73.5,81.0,66.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-15,0.0,0.0,69.0,79.0,59.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-16,0.0,0.0,64.5,70.0,59.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-17,0.0,0.0,69.0,77.0,61.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-18,0.7,0.0,68.5,75.0,62.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-19,0.78,0.0,65.0,68.0,62.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-20,0.0,0.0,68.0,75.0,61.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-21,0.0,0.0,67.5,76.0,59.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-22,0.0,0.0,67.0,75.0,59.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-23,0.04,0.0,66.0,72.0,60.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-24,1.21,0.0,60.5,63.0,58.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-25,1.43,0.0,63.0,65.0,61.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-26,0.3,0.0,60.0,62.0,58.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-27,0.2,0.0,58.5,62.0,55.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-28,0.0,0.0,60.5,65.0,56.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-29,1.88,0.0,61.5,65.0,58.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-09-30,2.83,0.0,60.5,62.0,59.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-01,0.03,0.0,62.5,67.0,58.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-02,0.0,0.0,70.0,79.0,61.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-03,0.0,0.0,71.5,79.0,64.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-04,0.0,0.0,71.5,79.0,64.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-05,0.0,0.0,73.5,82.0,65.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-06,0.06,0.0,72.0,78.0,66.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-07,0.04,0.0,70.0,73.0,67.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-08,0.11,0.0,60.5,70.0,51.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-09,0.0,0.0,55.5,61.0,50.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-10,0.02,0.0,56.0,62.0,50.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-11,0.0,0.0,59.5,64.0,55.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-12,0.0,0.0,63.0,71.0,55.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-13,0.0,0.0,62.5,72.0,53.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-14,0.0,0.0,59.5,66.0,53.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-15,0.94,0.0,53.5,57.0,50.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-16,0.0,0.0,56.0,63.0,49.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-17,0.0,0.0,58.0,66.0,50.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-18,0.0,0.0,59.5,66.0,53.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-19,0.0,0.0,59.5,65.0,54.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-20,0.18,0.0,59.5,65.0,54.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-21,0.89,0.0,62.5,66.0,59.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-22,0.1,0.0,58.0,65.0,51.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-23,0.0,0.0,53.5,59.0,48.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-24,0.0,0.0,56.0,64.0,48.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-25,0.0,0.0,59.0,67.0,51.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-26,0.0,0.0,63.5,73.0,54.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-27,0.0,0.0,68.0,76.0,60.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-28,0.0,0.0,69.0,75.0,63.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-29,0.03,0.0,69.0,81.0,57.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-30,0.79,0.0,55.5,58.0,53.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-10-31,0.0,0.0,54.0,61.0,47.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-01,0.0,0.0,49.0,54.0,44.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-02,0.0,0.0,44.5,51.0,38.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-03,0.0,0.0,44.5,51.0,38.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-04,0.0,0.0,51.5,58.0,45.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-05,0.0,0.0,54.5,60.0,49.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-06,0.0,0.0,56.5,66.0,47.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-07,0.0,0.0,52.5,58.0,47.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-08,0.0,0.0,55.0,66.0,44.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-09,0.0,0.0,49.5,56.0,43.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-10,0.0,0.0,56.0,60.0,52.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-11,0.0,0.0,49.5,54.0,45.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-12,0.0,0.0,48.0,57.0,39.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-13,0.0,0.0,42.5,47.0,38.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-14,0.0,0.0,45.0,51.0,39.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-15,0.0,0.0,48.0,54.0,42.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-16,0.0,0.0,48.5,54.0,43.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-17,0.0,0.0,56.5,66.0,47.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-18,0.0,0.0,60.0,67.0,53.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-19,0.0,0.0,51.0,60.0,42.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-20,0.0,0.0,47.0,56.0,38.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-21,0.0,0.0,42.0,47.0,37.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-22,2.44,0.0,45.5,54.0,37.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-23,0.0,0.0,51.0,56.0,46.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-24,0.0,0.0,49.5,54.0,45.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-25,0.0,0.0,42.0,51.0,33.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-26,0.0,0.0,38.0,43.0,33.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-27,0.5,0.0,47.0,56.0,38.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-28,0.0,0.0,43.0,51.0,35.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-29,0.0,0.0,33.5,39.0,28.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-11-30,0.0,0.0,34.0,40.0,28.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-01,0.0,0.0,44.0,52.0,36.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-02,0.4,0.0,47.5,51.0,44.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-03,0.18,0.0,53.5,59.0,48.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-04,0.52,0.0,49.0,51.0,47.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-05,0.0,0.0,45.5,51.0,40.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-06,0.0,0.0,41.0,45.0,37.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-07,0.0,0.0,38.0,43.0,33.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-08,0.0,0.0,38.5,44.0,33.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-09,0.0,0.0,47.0,51.0,43.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-10,0.0,0.0,53.0,59.0,47.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-11,1.58,0.0,51.5,62.0,41.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-12,0.06,0.0,41.0,44.0,38.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-13,0.0,0.0,42.0,47.0,37.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-14,0.0,0.0,41.0,47.0,35.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-15,0.02,0.0,39.5,44.0,35.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-16,0.0,0.0,49.0,59.0,39.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-17,0.0,0.0,51.5,55.0,48.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-18,2.29,0.0,55.5,62.0,49.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-19,0.62,0.0,51.0,62.0,40.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-20,0.0,0.0,37.0,43.0,31.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-21,0.0,0.0,40.0,48.0,32.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-22,0.0,0.0,35.0,43.0,27.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-23,0.0,0.0,34.0,41.0,27.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-24,0.01,0.0,40.5,46.0,35.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-25,0.0,0.0,45.5,50.0,41.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-26,0.0,0.0,47.5,51.0,44.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-27,0.0,0.0,46.5,49.0,44.0,no,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-28,1.45,0.0,48.5,52.0,45.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-29,0.05,0.0,51.5,55.0,48.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-30,0.01,0.0,47.0,55.0,39.0,yes,no
USC00305816,"WORLD TRADE CENTER, NY US",40.71042,-74.01426,2023-12-31,0.0,0.0,43.0,46.0,40.0,no,no
